	Cohort	Condition	Hemisphere	Subregion	Coordinates	Map ID	Weight 1	Weight 2	Mean 1	Mean 2	Variance 1	Variance 2	CV 1	CV 2	Index	$\Delta$ Mean	$\Delta$ Weight
736	061321A	TacHet	Left	S1ULp	W5_2.1	31	0.32304704421207003	0.6769529557879073	27.489638556356308	67.58792286307852	31.396923589652896	406.99232303548433	0.20383301030870557	0.29848602945384695	736	40.098284306722206	0.35390591157583723
737	061321A	TacHet	Left	S1ULp	W2_2.3	33	0.42613856379503634	0.573861436204939	31.593051426971936	64.85069453191615	56.29239769083261	291.19877820025744	0.2374834225068176	0.26313592367836197	737	33.25764310494421	0.14772287240990267
738	061321A	TacHet	Left	S1ULp	W2_2.1	34	0.3647737585019872	0.635226241498014	26.716374860697734	65.50491288543815	32.48277896582444	409.72645291574617	0.21332858857039888	0.30901042301799814	738	38.78853802474041	0.2704524829960268
739	061321A	TacHet	Left	S1ULp	W2_2.4	34	0.69263666192689	0.3073633380731236	32.62642904413374	71.79908280958726	164.5535217117063	415.54110031195	0.3931733272095399	0.2839148419222825	739	39.172653765453525	-0.3852733238537664
740	061321A	TacHet	Left	S1ULp	W2_3.3	35	0.3955911083575992	0.6044088916423715	20.727630616606124	43.64702935491534	27.375890369507	280.7424247200054	0.25242622117318936	0.3838833999470342	740	22.919398738309216	0.20881778328477235
741	061321A	TacHet	Left	S1ULp	W3_1.1	36	0.4018292330457966	0.5981707669542151	30.836546794747704	64.71336569136585	64.96985675241699	249.7137250034622	0.2613907510562714	0.24418963113225925	741	33.87681889661815	0.19634153390841852
742	061321A	TacHet	Left	S1ULp	W2_3.4	38	0.5557563468399195	0.4442436531600795	25.133610824499694	51.941033786853964	93.48374166180052	343.3641039764341	0.3846920020850385	0.35675236133345095	742	26.80742296235427	-0.11151269367983996
743	061321A	TacHet	Left	S1ULp	W3_1.3	39	0.6628157356289418	0.3371842643710846	35.10004789692563	60.757579204197164	101.20534795719523	227.26954060267454	0.2866117706097543	0.2481247893034442	743	25.657531307271533	-0.3256314712578572
744	061321A	TacHet	Left	S1ULp	W3_1.4	40	0.5310390643467369	0.46896093565319313	37.17501668759522	61.675317158335105	82.87900761593734	131.39207857352977	0.24489002692773332	0.18585455098805834	744	24.500300470739887	-0.06207812869354373
745	061321A	TacHet	Left	S1ULp	W5_2.2	41	0.3819352199445843	0.6180647800553873	31.964501277862134	61.268645420952936	45.45879100615994	268.36554559799913	0.21093128959546195	0.2673776489159112	745	29.304144143090802	0.23612956011080305
746	061321A	TacHet	Left	S1ULp	W3_2.1	42	0.41400971606374987	0.5859902839362282	27.89869778014787	55.60823965840968	36.75355987838247	179.09326622926056	0.21730302543064506	0.24065809871335178	746	27.70954187826181	0.17198056787247834
747	061321A	TacHet	Left	S1ULp	W3_2.2	43	0.5892225832436446	0.4107774167563775	30.545538174462777	52.09805723081042	59.40475751094101	195.81677220650755	0.25232648186132545	0.2685983962543128	747	21.55251905634764	-0.1784451664872671
748	061321A	TacHet	Left	S1ULp	W3_2.3	44	0.5823422942864845	0.41765770571353633	31.50927646694764	55.6618943219712	62.18172416045261	142.06228074163351	0.2502608695161571	0.21413191894367842	748	24.152617855023557	-0.1646845885729482
749	061321A	TacHet	Left	S1ULp	W3_2.4	44	0.6313293672617035	0.368670632738249	26.246534184344195	43.25242011859622	37.47913731316352	111.72086577088152	0.2332506320920509	0.24437497683072956	749	17.005885934252024	-0.2626587345234545
750	061321A	TacHet	Right	S1ULp	W1_3.2	23	0.3196894328238421	0.6803105671760469	27.749337273372124	66.75028712735028	23.342907932851947	455.2801601031468	0.17411046005739927	0.3196584759331315	750	39.000949853978156	0.3606211343522048
751	061321A	TacHet	Right	S1ULp	W1_3.1	25	0.3455301980882097	0.6544698019118331	27.94959636353225	65.98639521981481	32.04610815425332	465.88510226888656	0.20254060675645177	0.32710336186197503	751	38.03679885628256	0.30893960382362345
752	061321A	TacHet	Right	S1ULp	W1_3.3	25	0.34028952708378807	0.6597104729161348	26.577485084846533	63.77586326789759	31.281095432483585	437.28652495936086	0.2104394187183432	0.3278888899291491	752	37.19837818305106	0.31942094583234676
753	061321A	TacHet	Right	S1ULp	W1_3.4	26	0.3868267204287055	0.6131732795712764	31.01713704987394	71.44948246207552	54.226372962296026	421.1813983796038	0.2374124935188502	0.2872337734783934	753	40.432345412201585	0.22634655914257096
754	061321A	TacHet	Right	S1ULp	W5_1.1	26	0.38853067963932736	0.6114693203605098	33.27302658928813	72.87614002805206	53.90777053870299	279.67734749107547	0.22066496135665156	0.22947917737512766	754	39.603113438763934	0.22293864072118247
755	061321A	TacHet	Right	S1ULp	W2_1.3	27	0.3751521707270238	0.6248478292731745	29.86208168675688	67.75309667134557	35.708101295849495	421.0377285657072	0.20010746944513744	0.3028526355999733	755	37.89101498458869	0.24969565854615072
756	061321A	TacHet	Right	S1ULp	W2_1.2	28	0.6630806577003717	0.33691934229967174	27.812189132374673	59.82286845740663	103.87189433908136	434.67943812335477	0.3664492624628974	0.3485116620637791	756	32.01067932503196	-0.3261613154007
757	061321A	TacHet	Right	S1ULp	W2_1.4	31	0.3473227088877398	0.6526772911121989	25.5070157407667	62.78518847229829	24.895598561694015	433.1446633999929	0.19561476671361963	0.3314814895435672	757	37.27817273153158	0.30535458222445905
758	061321A	TacHet	Right	S1ULp	W2_2.2	32	0.4070971037379381	0.592902896262031	38.02046253991384	73.03999777886963	60.67723478860665	236.80160000783138	0.2048780794494415	0.21068400472323176	758	35.0195352389558	0.18580579252409285
759	061321A	TacHet	Right	S1ULp	W2_2.3	33	0.3860052853484784	0.613994714651477	29.633291756843086	67.94577013784432	48.17068146176182	310.9903754259761	0.23421327033014927	0.25954403299718193	759	38.312478381001235	0.22798942930299865
760	061321A	TacHet	Right	S1ULp	W2_2.4	34	0.41642947298743455	0.5835705270125484	22.72741247275079	47.35851946346521	30.55800606844412	264.5974145137692	0.2432274084584081	0.34347464332886335	760	24.631106990714418	0.16714105402511387
761	061321A	TacHet	Right	S1ULp	W2_3.3	35	0.6444622697443989	0.3555377302555975	26.119975444577126	53.00004525008053	82.96844485558587	312.43295305878456	0.34872550398454033	0.333504867225324	761	26.880069805503407	-0.2889245394888014
762	061321A	TacHet	Right	S1ULp	W3_1.1	36	0.41019504488492353	0.5898049551150796	29.710518291258854	63.56629531785118	66.64649008412096	288.4798290380133	0.27477575710552893	0.2671965367605061	762	33.85577702659232	0.17960991023015604
763	061321A	TacHet	Right	S1ULp	W2_3.4	38	0.7217977949012482	0.27820220509871935	29.413772262332845	52.43887297377101	119.38118480940814	356.42806190578517	0.3714644155554103	0.3600249472079548	763	23.025100711438167	-0.44359558980252883
764	061321A	TacHet	Right	S1ULp	W3_1.2	39	0.5120079793598142	0.4879920206401432	39.73629380704818	63.22152213420543	89.62918168925738	172.4647952658045	0.23825244026899067	0.20772333223760805	764	23.48522832715725	-0.02401595871967105
765	061321A	TacHet	Right	S1ULp	W3_1.4	41	0.37566025582375345	0.6243397441763411	32.17427544172078	62.44540226221331	51.7343896404033	268.99811769216944	0.2235531992373336	0.26264803315253793	765	30.271126820492526	0.24867948835258763
766	061321A	TacHet	Right	S1ULp	W5_2.2	41	0.5068253347001536	0.49317466529987253	36.1322296113449	63.02447797003745	94.53803891271744	240.4694282926591	0.2690967998903841	0.2460484753862191	766	26.892248358692555	-0.013650669400281035
767	061321A	TacHet	Right	S1ULp	W3_2.1	42	0.5890193600133659	0.4109806399865884	31.6704814702278	55.950533065027194	59.49431980518391	196.10033077663297	0.24354716919573294	0.2502850646178227	767	24.280051594799396	-0.17803872002677745
768	061321A	TacHet	Right	S1ULp	W3_2.2	43	0.7490837590832142	0.2509162409167907	32.978312970526424	60.73378376490373	83.97004005430452	263.2219731606063	0.2778649351560808	0.2671349620719841	768	27.755470794377302	-0.4981675181664235
769	061321A	TacHet	Right	S1ULp	W3_2.3	43	0.617127306569352	0.3828726934306403	32.590268642433415	51.01985918734639	64.70637933955082	203.12162452314618	0.24682299018047416	0.2793436638339491	769	18.429590544912976	-0.2342546131387117
770	061321A	TacHet	Left	S1HL	W5_1.1	26	0.47932228984890873	0.5206777101510713	30.55551925511445	46.59310076174547	36.58680275745317	100.0393431886873	0.19795777376936405	0.21466626608801626	770	16.037581506631017	0.041355420302162604
771	061321A	TacHet	Left	S1HL	W1_3.4	27	0.4349807388168995	0.5650192611830918	28.42130731672229	40.71598081352878	30.797744467461776	114.06065581504564	0.19526095317377465	0.26230286314360896	771	12.294673496806489	0.13003852236619223
772	061321A	TacHet	Left	S1HL	W2_1.3	27	0.7057909096582217	0.29420909034174164	32.08277593850589	51.88835924064642	46.411350511672815	159.0258308312274	0.21234408346481304	0.24303224489948722	772	19.805583302140533	-0.41158181931648
773	061321A	TacHet	Left	S1HL	W2_1.2	28	0.553955396433366	0.44604460356662307	21.386775272097935	30.885931590423596	17.509884301520373	73.56939991155653	0.19565742439693531	0.2777076872261719	773	9.49915631832566	-0.10791079286674293
774	061321A	TacHet	Left	S1HL	W2_1.4	30	0.7372491562971729	0.2627508437027699	28.53294990620847	47.55685010381656	46.22285899025881	161.06391199428552	0.23827678305817687	0.26686157195532006	774	19.02390019760809	-0.474498312594403
775	061321A	TacHet	Left	S1HL	W2_2.2	31	0.436527589073746	0.5634724109263265	31.228126742826053	48.64323802406511	23.020180865677823	122.14248018535815	0.15364146246077715	0.22720134100924838	775	17.41511128123906	0.1269448218525805
776	061321A	TacHet	Left	S1HL	W5_2.1	31	0.5476730856929429	0.4523269143072484	28.246052259042326	40.256598754769826	33.59777696825218	104.47438781326318	0.20520952405809506	0.2539030036448087	776	12.0105464957275	-0.09534617138569451
777	061321A	TacHet	Left	S1HL	W2_2.3	33	0.6396768999395136	0.36032310006055657	31.524116326492916	57.8260753285263	70.24137876943499	251.74429013809512	0.265860362429865	0.2743823029392924	777	26.301959002033385	-0.27935379987895703
778	061321A	TacHet	Left	S1HL	W2_2.1	34	0.7191498865176289	0.28085011348255295	27.725500159969627	48.33217969395964	47.832551977974155	199.3687908644496	0.2494493557432884	0.2921407944816422	778	20.60667953399001	-0.43829977303507595
779	061321A	TacHet	Left	S1HL	W2_2.4	34	0.7278443749938431	0.2721556250063051	21.247386153967412	35.72238106923773	25.92988788708959	128.35104788875702	0.23965958811467922	0.3171460526607364	779	14.474994915270315	-0.45568874998753806
780	061321A	TacHet	Left	S1HL	W2_3.3	35	0.6484849198803423	0.3515150801194665	19.516833458765294	33.93620661941565	26.372673748847944	137.62920587049535	0.2631283999851158	0.345694131176907	780	14.419373160650355	-0.29696983976087576
781	061321A	TacHet	Left	S1HL	W3_1.1	36	0.6604219090351132	0.33957809096488206	32.65781666747892	55.58516758072551	77.90003614187859	264.3757438314064	0.27025994428094263	0.2925175208200806	781	22.927350913246592	-0.32084381807023116
782	061321A	TacHet	Left	S1HL	W2_3.4	38	0.6091624756184607	0.39083752438160585	21.65495860570194	45.24039036124019	46.510486909381115	273.06431378074365	0.3149329383087141	0.365263376793219	782	23.58543175553825	-0.21832495123685486
783	061321A	TacHet	Left	S1HL	W3_1.3	39	0.35932694247482627	0.6406730575250312	26.098582666522887	49.61936579876542	28.845167020716747	253.34244306598126	0.2057877914171425	0.3207766651149352	783	23.520783132242535	0.28134611505020496
784	061321A	TacHet	Left	S1HL	W3_1.4	40	0.3893951903960148	0.6106048096040789	30.576512421248733	54.39515105861774	27.33471390763791	140.30982700650617	0.17098945120775066	0.21776288291659548	784	23.81863863736901	0.22120961920806415
785	061321A	TacHet	Left	S1HL	W5_2.2	41	0.4749486286684136	0.5250513713316164	33.131555874778506	53.86502403470283	54.839074912972116	190.6165979902563	0.22351322709028595	0.25631469107575644	785	20.73346815992432	0.050102742663202804
